,content,,,,,,,,,,,,,,,,,,,,
219,인생 최고의 히어로. 고마웠어요.,,,,,,,,,,,,,,,,,,,,
220,이게 시작일줄이야..,,,,,,,,,,,,,,,,,,,,
221,우리는 마블팬이기 이전에 아이언맨,,,,,,,,,,,,,,,,,,,,
222,i'm iron man,,,,,,,,,,,,,,,,,,,,
223,다시보니 추억이 많네..,,,,,,,,,,,,,,,,,,,,
224,I love you 3000,,,,,,,,,,,,,,,,,,,,
225,MCU 인피니티사가 시작이 아닌 아이언맨사가 시작인영화...,,,,,,,,,,,,,,,,,,,,
226,어벤져스 엔드게임에서 아이언맨이 외친 나는아이언맨다를 듣고 1편 마지막 기자회견이 오버랩되었네요 세상에 자신을 알리고 세상을 구했던 대사..,,,,,,,,,,,,,,,,,,,,
227,해피 호건이 감독이었구나. 몰랐네. 모건에게 치즈버거 많이사주세요 해피,,,,,,,,,,,,,,,,,,,,
228,엔드게임 보고 다시 아이언맨1 부터 정주행중. 히어로 캐릭터는 내게 아이언맨 뿐,,,,,,,,,,,,,,,,,,,,
229,로다주는 그냥 아이언맨 그 자체임~,,,,,,,,,,,,,,,,,,,,
230,참.. 영화고 가상의 인물이지만 마음이 아프구만..,,,,,,,,,,,,,,,,,,,,
231,우리의 영웅 로다주. 이렇게 우리곁 떠나는건 말도 안되잖아요. 돌아와요 토니ㅜㅜ,,,,,,,,,,,,,,,,,,,,
